bus id,source,destination,distance,fare,time,day,date
124,Philips (Ulsoor Lake),Geddalahalli,28621,41,23:10,Saturday,02-02-2024
125,Philips (Ulsoor Lake),Vidyasagar Cross (Sarai palya),25926,40,01:30,Tuesday,13-02-2024
126,Philips (Ulsoor Lake),Thinnasandra Petrol Bunk,25075,50,01:40,Sunday,25-02-2024
127,Philips (Ulsoor Lake),Jn. Of Nagavara,24518,45,05:10,Sunday,17-02-2024
128,Philips (Ulsoor Lake),Railway Gate (Frazer Town),24047,45,04:30,Sunday,28-02-2024
129,Philips (Ulsoor Lake),P and T Colony,22141,40,00:00,Wednesday,28-02-2024
130,Philips (Ulsoor Lake),CSI Hospital,23205,45,09:30,Tuesday,10-02-2024
131,Philips (Ulsoor Lake),Gandhi Statue (Chinnaswami),24228,45,03:10,Tuesday,03-02-2024
132,Philips (Ulsoor Lake),Spice Garden,21437,32,10:30,Wednesday,25-02-2024
133,Philips (Ulsoor Lake),Kundalahalli Gate,22096,39,08:00,Monday,16-02-2024
134,Philips (Ulsoor Lake),Museum road,24352,37,02:30,Sunday,02-02-2024
135,Philips (Ulsoor Lake),Clarence School,23229,37,16:50,Thursday,13-02-2024
136,Philips (Ulsoor Lake),Charles School Bus Stop,23765,42,07:50,Thursday,24-02-2024
137,Philips (Ulsoor Lake),Lingarajpura,22896,32,02:20,Wednesday,08-02-2024
138,Philips (Ulsoor Lake),Hosur Bande,25754,37,06:30,Tuesday,13-02-2024
139,Philips (Ulsoor Lake),Byrthi Bande,26709,39,08:30,Friday,27-02-2024
140,Philips (Ulsoor Lake),Bible College,27148,39,18:30,Thursday,29-02-2024
141,Philips (Ulsoor Lake),Kadasonnapanahalli,26287,39,12:50,Monday,23-02-2024
142,Philips (Ulsoor Lake),Jyothi School,27982,41,05:20,Saturday,16-02-2024
143,Philips (Ulsoor Lake),Siddagunta Palya,28003,41,12:50,Friday,29-02-2024
144,Philips (Ulsoor Lake),Tin Factory,27306,39,09:00,Friday,01-02-2024
145,Philips (Ulsoor Lake),Kacharakanahalli,29500,42,15:20,Sunday,13-02-2024
146,Philips (Ulsoor Lake),K.R. Puram Bus Stand,28577,41,23:20,Saturday,28-02-2024
147,Philips (Ulsoor Lake),Siddaguntapalya Cross,26689,39,02:40,Monday,23-02-2024
148,Philips (Ulsoor Lake),Trinity Circle (TAJ RESIDENCY),25790,39,21:40,Tuesday,08-02-2024
149,Philips (Ulsoor Lake),ST John's Hospital,28945,65,01:40,Thursday,25-02-2024
150,Philips (Ulsoor Lake),Garuda Mall,29597,42,12:10,Friday,29-02-2024
151,Philips (Ulsoor Lake),M.G. Road (Mayo Hall),30306,42,16:00,Monday,13-02-2024
152,Philips (Ulsoor Lake),Hennur (Bagalur RD),25481,95,10:20,Tuesday,28-02-2024
153,Philips (Ulsoor Lake),Kothanur,26934,39,02:50,Tuesday,15-02-2024
154,Philips (Ulsoor Lake),Church Cross (Bagalur RD),31564,55,04:40,Friday,24-02-2024
155,Philips (Ulsoor Lake),Chakkalatti,28549,41,18:10,Wednesday,16-02-2024
156,Philips (Ulsoor Lake),Bagalur,26521,39,09:00,Sunday,14-02-2024
157,Philips (Ulsoor Lake),State Bank  (Electronic City),28680,41,18:00,Saturday,20-02-2024
158,Philips (Ulsoor Lake),Koodlu Gate,29022,41,19:00,Sunday,28-02-2024
159,Philips (Ulsoor Lake),Konappana Agarahara,30390,42,08:40,Wednesday,11-02-2024
160,Philips (Ulsoor Lake),Anepalya,26252,39,22:10,Tuesday,26-02-2024
161,Philips (Ulsoor Lake),Adugodi,26129,39,21:20,Monday,29-02-2024
162,Philips (Ulsoor Lake),Ayyappaswami Temple (Madiwala),27455,63,17:10,Monday,17-02-2024
163,Philips (Ulsoor Lake),Tavakal Mosque,34116,115,03:20,Sunday,20-02-2024
164,Philips (Ulsoor Lake),Dell Complex,28967,100,15:20,Friday,21-02-2024
165,Philips (Ulsoor Lake),Indian Express,33786,104,00:20,Saturday,02-02-2024
166,Philips (Ulsoor Lake),HSR Layout (BDA Complex),40492,45,05:30,Wednesday,28-02-2024
167,Philips (Ulsoor Lake),DELL Complex (Hero Honda),30321,100,11:40,Tuesday,11-02-2024
168,Philips (Ulsoor Lake),Singasandra,31912,42,23:20,Monday,27-02-2024
169,Philips (Ulsoor Lake),P.E.S. College,32356,52,03:10,Wednesday,25-02-2024
170,Philips (Ulsoor Lake),Junnasandara Gate,29150,41,03:10,Thursday,22-02-2024
171,Philips (Ulsoor Lake),Dodda Kannelli,29951,42,11:20,Friday,28-02-2024
172,Philips (Ulsoor Lake),Ambedkar Nagar (Sarjapura Rd),32077,42,04:30,Friday,04-02-2024
173,Philips (Ulsoor Lake),Kodathi Gate,32766,54,23:50,Saturday,25-02-2024
174,Philips (Ulsoor Lake),Shoole Kunte,33314,42,13:10,Wednesday,23-02-2024
175,Philips (Ulsoor Lake),Choudenahall Gate,36311,44,15:30,Thursday,27-02-2024
176,Philips (Ulsoor Lake),Chambenahalli Gate,32346,42,06:30,Saturday,24-02-2024
177,Philips (Ulsoor Lake),Depot - 15,32861,42,23:40,Saturday,11-02-2024
178,Philips (Ulsoor Lake),Ibbalur,31723,70,20:30,Sunday,12-02-2024
179,Philips (Ulsoor Lake),Dommasandra Circle,36173,58,07:20,Thursday,27-02-2024
180,Philips (Ulsoor Lake),Yamare Village,35212,44,13:00,Friday,19-02-2024
181,Philips (Ulsoor Lake),Sompura Gate,32317,42,12:20,Friday,24-02-2024
182,Philips (Ulsoor Lake),Sarjapura,34030,44,10:30,Thursday,13-02-2024
183,Philips (Ulsoor Lake),Trinity Circle (Church),7818,25,23:40,Sunday,21-02-2024
184,Philips (Ulsoor Lake),Frazer Town (Post Office),27868,95,19:50,Sunday,01-02-2024
185,Philips (Ulsoor Lake),Sarai Palya (Vidyasagar Cross),29729,39,10:40,Wednesday,11-02-2024
186,Philips (Ulsoor Lake),St Johns Hospital,28021,41,23:20,Tuesday,10-02-2024
187,Philips (Ulsoor Lake),Krupanidhi College,27003,39,13:00,Monday,02-02-2024
188,Philips (Ulsoor Lake),Vivek Nagar Cross,29874,67,08:30,Friday,14-02-2024
189,Philips (Ulsoor Lake),Sonkad Gate,33029,70,16:50,Monday,23-02-2024
190,Philips (Ulsoor Lake),Electronic City (Hosur Rd),29110,41,20:50,Saturday,10-02-2024
191,Philips (Ulsoor Lake),Madiwala Market,28138,41,00:20,Sunday,12-02-2024
192,Philips (Ulsoor Lake),Byatarayanapura Police Station,24041,90,23:20,Friday,15-02-2024
193,Philips (Ulsoor Lake),BWSSB Quaters,20167,77,10:00,Thursday,06-02-2024
194,Philips (Ulsoor Lake),M.G. RD (Manipal Centre),33894,44,04:30,Saturday,20-02-2024
195,Philips (Ulsoor Lake),Muttanalur Cross,37344,69,17:00,Tuesday,12-02-2024
196,Binnamangala,Philips (Ulsoor Lake),8730,20,17:00,Sunday,19-02-2024
197,Binnamangala,Benniganahalli,4373,10,07:00,Tuesday,02-02-2024
198,Binnamangala,Cantonment RLWY Station,22831,39,09:00,Wednesday,28-02-2024
199,Binnamangala,Depot - 10,29158,94,06:10,Thursday,15-02-2024
200,Binnamangala,Varthurkodi,27794,89,20:50,Tuesday,15-02-2024
201,Binnamangala,Marathahalli (Jn. Vartur and O,24951,84,10:40,Sunday,28-02-2024
202,Binnamangala,Raja Rajeshwari Talkies,24870,39,15:00,Sunday,01-02-2024
203,Binnamangala,Koramangala (Jn. Ejipura RD),33047,55,01:00,Wednesday,12-02-2024
204,Binnamangala,GPO,27917,95,06:40,Sunday,18-02-2024
205,Binnamangala,Koramangala (80 FT RD),7344,17,22:00,Friday,01-02-2024
206,Binnamangala,Koramangala (SONY World),5403,10,05:40,Sunday,25-02-2024
207,Binnamangala,Kaggadasapura Jn (Big Bazaar),9490,25,13:10,Thursday,01-02-2024
208,Binnamangala,K. R. Puram Rlwy Station,13834,32,12:30,Tuesday,09-02-2024
209,Binnamangala,ITI Bus Stop,9744,22,16:10,Sunday,18-02-2024
210,Binnamangala,Vannar Pete,11535,27,08:10,Wednesday,06-02-2024
211,Binnamangala,Passport Office,5653,10,15:40,Sunday,28-02-2024
212,Binnamangala,Ashwath Nagar (Telecom Colony),29132,29,12:50,Wednesday,29-02-2024
213,Binnamangala,Hennur Bande,29241,25,04:50,Wednesday,08-02-2024
214,Binnamangala,8th Mile (Tumkur RD),23236,37,04:40,Tuesday,05-02-2024
215,Binnamangala,White Field Post Office,19505,37,18:20,Saturday,02-02-2024
216,Binnamangala,Amanath Bank Stop,9725,22,10:20,Wednesday,15-02-2024
217,Binnamangala,Hennur Cross,29059,60,10:30,Sunday,13-02-2024
218,Binnamangala,Venketeshpuram02,10365,19,16:10,Tuesday,07-02-2024
219,Binnamangala,Govardhan Turning,11436,19,18:00,Sunday,09-02-2024
220,Binnamangala,M E I Factory,17215,30,02:00,Friday,02-02-2024
221,Binnamangala,Dasarahalli (Tumkur Rd),18762,35,10:30,Friday,01-02-2024
222,Binnamangala,Bowring Institute (SBI),14883,29,01:10,Saturday,11-02-2024
223,Binnamangala,Siddapur,20373,23,00:10,Monday,14-02-2024
224,Binnamangala,NGV Center,10600,25,03:40,Monday,06-02-2024
225,Binnamangala,Koramangala 1st Block,11168,19,07:50,Thursday,08-02-2024
226,Binnamangala,Coles park,14175,29,23:00,Wednesday,15-02-2024
227,Binnamangala,Fraser town (Doddi stop),11432,19,06:40,Sunday,05-02-2024
228,Binnamangala,MEI (Tumkur RD),12488,20,16:40,Thursday,06-02-2024
229,Binnamangala,Jalahalli Cross,13497,20,19:00,Wednesday,04-02-2024
230,Binnamangala,Basaveshwara Circle (L.H.),15964,20,20:30,Monday,29-02-2024
231,Binnamangala,Richmond Circle (Opp Bangalore,16612,22,22:30,Wednesday,21-02-2024
232,Binnamangala,Kathariguppe,20277,32,00:20,Tuesday,01-02-2024
233,Binnamangala,Madiwala Masjid,14657,32,00:00,Monday,04-02-2024
234,Binnamangala,Adugodi Police Quarters,15383,25,10:00,Sunday,26-02-2024
235,Binnamangala,Lake Side Hospital,15713,22,13:40,Sunday,14-02-2024
236,Binnamangala,Bangalore Club (Richmond Circl,16668,22,17:30,Monday,17-02-2024
237,Binnamangala,Domlur,18838,32,02:30,Sunday,23-02-2024
238,Binnamangala,Halasuru (Ulsoor) Lake,18165,27,17:10,Sunday,22-02-2024
239,Binnamangala,Yeshwantpur Junction,10814,19,22:10,Wednesday,22-02-2024
240,Binnamangala,Brigade Road (St Patricks Chur,12944,20,05:30,Wednesday,05-02-2024
241,Binnamangala,Kogillu Cross,15055,20,05:40,Saturday,06-02-2024
242,Binnamangala,Jeevanbhima Nagar,14157,20,11:40,Tuesday,21-02-2024
243,Binnamangala,Indira Nagar Police Station,15186,25,12:20,Thursday,28-02-2024
244,Binnamangala,J.C. Nagar,17341,30,14:30,Friday,01-02-2024
245,Binnamangala,K.G. Halli,10589,25,11:50,Thursday,15-02-2024
246,Binnamangala,Govindapura Cross,11873,27,14:10,Friday,10-02-2024
247,Binnamangala,Arabic college,12542,20,19:30,Monday,16-02-2024
248,Binnamangala,Kengeri,12208,20,19:00,Wednesday,03-02-2024
249,Binnamangala,Mylasandra (Mysore Raod),12798,20,06:10,Saturday,13-02-2024
250,Binnamangala,Corporation (Kalinga RD),14344,30,14:40,Tuesday,27-02-2024
251,Binnamangala,Corporation Office,13899,20,23:40,Sunday,23-02-2024
252,Binnamangala,IIM-B,14849,30,11:30,Monday,29-02-2024
253,Binnamangala,Lalbagh Main Gate,20303,37,20:50,Saturday,10-02-2024
254,Binnamangala,Purnima Bus Stop,16209,30,21:30,Saturday,07-02-2024
255,Binnamangala,G.D. Marra (J.P. Nagar 3rd Ph),17384,30,02:50,Wednesday,06-02-2024
256,Binnamangala,BTM Check Post,18078,35,04:20,Wednesday,28-02-2024
257,Binnamangala,BIAL Bus Stop,21451,37,04:40,Wednesday,07-02-2024
258,Binnamangala,Malleshwaram 18th Cross,21853,37,22:40,Tuesday,11-02-2024
259,Binnamangala,Madiwala (Check Post),22590,37,19:30,Sunday,04-02-2024
260,Binnamangala,Bangalore University Gate,18643,35,13:10,Wednesday,23-02-2024
261,Binnamangala,Panthara palya,18023,36,22:50,Friday,22-02-2024
262,Binnamangala,Vinayaka Stop,21591,37,03:10,Thursday,28-02-2024
263,Binnamangala,Jaraganhalli,24330,54,04:00,Sunday,16-02-2024
264,Binnamangala,Metro Mall (Kanakapura RD),17807,67,03:00,Saturday,12-02-2024
265,Binnamangala,Sarakki Gate,20193,37,19:00,Monday,18-02-2024
266,Binnamangala,Jayadeva (Opp Shoppers Stop),22183,52,14:50,Saturday,03-02-2024
267,Binnamangala,Byatarayanapura (Blry RD),22719,52,13:30,Friday,16-02-2024
268,Binnamangala,Esteem Mall,31921,42,19:20,Sunday,21-02-2024
269,Binnamangala,Jal Bhavan (Bannerghatta RD),25566,54,09:20,Friday,17-02-2024
270,Binnamangala,Kodihalli,26262,84,13:20,Monday,16-02-2024
271,Binnamangala,Electric Stop (Manipal Center),32100,59,09:00,Saturday,28-02-2024
272,Binnamangala,Cunnighama Road,21006,75,22:50,Wednesday,13-02-2024
273,Binnamangala,Jn. of Koramangala 80ft RD,26645,47,01:00,Friday,14-02-2024
274,Binnamangala,Bommanahalli,30785,52,21:30,Tuesday,28-02-2024
275,Binnamangala,Hotel Windsor Manor (Le Meride,21374,32,13:20,Saturday,27-02-2024
276,Binnamangala,Halasuru (Ulsoor),16868,35,09:20,Wednesday,09-02-2024
277,Binnamangala,Taj Residency,18098,37,03:40,Thursday,29-02-2024
278,Binnamangala,Agara,20870,75,22:40,Tuesday,06-02-2024
279,Binnamangala,Accenture,20429,69,00:20,Sunday,10-02-2024
280,Binnamangala,Kalyananagar,19002,37,17:30,Monday,14-02-2024
281,Binnamangala,Infosys (Parking Lot),17843,59,10:30,Sunday,25-02-2024
282,Binnamangala,Corporation (Kasturba Road),24486,37,13:30,Tuesday,10-02-2024
283,Binnamangala,Hotel Le Meridean,25368,89,05:20,Tuesday,26-02-2024
284,Binnamangala,Military Accounts Office (Trin,31320,52,08:10,Monday,12-02-2024
285,Binnamangala,Command Hospital,27484,41,07:30,Thursday,24-02-2024
286,Binnamangala,Hotel Leela Palace (Opp Royal,27154,41,00:20,Tuesday,19-02-2024
287,Binnamangala,Borewell (Marathahali RD),25066,39,10:10,Thursday,07-02-2024
288,Binnamangala,Central Silk Board (Hosur RD),22385,85,14:40,Friday,07-02-2024
289,Binnamangala,Minerva Circle,22401,45,20:50,Saturday,26-02-2024
290,Binnamangala,Marathalli Bridge,21665,39,22:30,Friday,20-02-2024
291,Binnamangala,HAL Main Gate (OPP),21111,37,22:00,Wednesday,20-02-2024
292,Binnamangala,Koramangala Water tank,15524,22,15:50,Monday,01-02-2024
293,Binnamangala,Jn.of Sarjapur RD,16980,36,05:50,Sunday,11-02-2024
294,Binnamangala,Intel,19613,35,19:10,Sunday,04-02-2024
295,Binnamangala,Marathahalli Bridge (ORR),19246,35,18:30,Friday,23-02-2024
296,Binnamangala,Chikkalasandra Bus Stand,18373,22,08:30,Thursday,22-02-2024
297,Binnamangala,Padmanabhanagara,19625,32,14:10,Saturday,28-02-2024
298,Binnamangala,Dalmiya Circle (J.P. Nagar 3rd,17500,22,14:00,Saturday,21-02-2024
299,Binnamangala,Vijaya College,18485,22,10:00,Thursday,25-02-2024
300,Binnamangala,Kalyananagar,18505,30,22:30,Friday,03-02-2024
301,Binnamangala,Kempe Gowda Bus Station,17622,22,15:20,Sunday,29-02-2024
302,Binnamangala,Hotel Grand Ashoka,16957,22,11:20,Tuesday,17-02-2024
303,Binnamangala,Rajajinagar/Navaranga,22329,23,06:30,Tuesday,23-02-2024
304,Binnamangala,Malleshwaram Bus Station,20801,23,17:30,Tuesday,13-02-2024
305,Binnamangala,Sadashivanagar Bhashyam Circle,20611,23,18:20,Tuesday,11-02-2024
